Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
25.6,77.3,Medium,High,No,7.8,57.6,High,Yes,0.0,60.0
19.9,71.0,High,High,Yes,7.9,99.6,High,Yes,2.0,69.6
20.8,82.1,Medium,Low,Yes,6.3,70.8,High,Yes,2.0,64.6
23.6,73.7,Medium,Medium,Yes,6.4,91.4,High,Yes,1.0,69.9
11.0,69.2,Medium,Medium,Yes,6.8,64.3,High,No,1.0,51.9
27.7,94.0,Low,Medium,Yes,6.7,95.8,High,Yes,2.0,86.2
23.3,75.3,Medium,Low,Yes,5.8,61.5,High,Yes,0.0,56.9
15.8,74.4,High,High,Yes,5.8,56.1,High,Yes,0.0,52.5
23.2,63.0,Medium,Medium,No,8.3,81.7,High,Yes,3.0,69.3
24.8,97.1,High,Low,No,7.8,91.0,High,Yes,1.0,77.0
29.4,93.1,Low,High,Yes,6.9,87.0,High,Yes,2.0,83.7
22.3,91.8,Medium,Low,Yes,7.4,63.9,High,No,0.0,57.6
16.5,68.5,Medium,Medium,Yes,7.6,90.3,High,Yes,4.0,69.6
16.3,63.6,Medium,Medium,No,5.5,76.6,High,No,0.0,63.3
14.1,86.9,High,High,Yes,8.3,90.6,High,Yes,3.0,67.4
22.9,69.8,High,Medium,Yes,7.8,81.6,High,Yes,0.0,61.9
23.6,91.1,High,Medium,Yes,4.8,90.6,High,Yes,1.0,75.2
20.5,88.8,High,Medium,Yes,8.8,65.8,High,Yes,2.0,57.7
14.2,68.6,Medium,Medium,No,5.9,69.9,High,Yes,4.0,62.9
13.7,65.5,Medium,Medium,Yes,9.8,97.1,High,Yes,1.0,66.0
12.5,83.2,High,High,Yes,7.5,57.8,High,Yes,4.0,63.4
12.4,68.6,Low,Medium,No,6.5,83.6,High,Yes,2.0,55.2
13.3,79.0,Medium,Medium,Yes,5.0,69.3,High,Yes,0.0,58.7
27.4,68.0,Medium,Low,Yes,7.1,70.2,High,Yes,2.0,62.5
28.1,82.6,Low,Medium,No,8.0,85.6,High,Yes,2.0,72.4
23.8,75.9,High,Medium,Yes,9.0,85.8,High,Yes,4.0,74.0
24.8,68.3,Medium,Medium,Yes,6.1,89.6,High,Yes,3.0,73.5
13.5,72.3,Medium,Medium,Yes,6.7,77.9,High,Yes,0.0,57.0
17.1,90.6,Medium,High,Yes,8.5,81.8,High,Yes,0.0,64.1
21.4,88.6,High,Medium,No,6.5,75.8,High,Yes,0.0,71.2
29.6,93.8,Medium,High,Yes,5.5,74.5,High,Yes,0.0,77.3
25.5,75.7,Medium,High,Yes,4.4,53.6,High,Yes,2.0,55.9
24.2,81.6,Medium,Medium,No,6.9,63.2,High,Yes,2.0,57.8
28.1,98.8,High,High,No,4.7,58.3,High,Yes,1.0,65.4
17.9,64.4,High,High,No,8.4,70.0,High,Yes,2.0,56.5
23.4,72.6,Medium,Medium,Yes,6.6,91.4,High,Yes,1.0,71.5
19.9,67.4,Medium,Medium,Yes,6.2,63.1,High,Yes,0.0,50.0
28.4,84.5,High,Medium,Yes,7.3,64.3,High,Yes,1.0,61.2
26.8,93.1,Medium,Low,Yes,6.6,98.9,High,Yes,4.0,95.2
15.1,87.1,High,Medium,No,8.5,74.8,High,Yes,0.0,57.4
18.7,97.7,Medium,High,Yes,7.5,97.3,High,Yes,2.0,76.6
20.8,89.6,High,High,No,7.7,52.9,High,Yes,0.0,55.1
16.5,73.3,Medium,Low,Yes,7.3,92.0,High,Yes,1.0,62.2
12.3,82.2,Low,Medium,No,9.4,99.1,High,Yes,0.0,59.4
15.5,95.1,High,High,Yes,7.3,81.7,High,Yes,4.0,70.1
10.5,67.5,Low,Medium,No,7.4,50.6,High,Yes,2.0,48.6
22.2,62.9,Medium,High,No,8.8,92.6,High,Yes,3.0,68.5
21.8,89.8,,Medium,Yes,8.1,62.3,High,Yes,2.0,64.4
14.1,82.3,Low,High,Yes,8.9,67.8,High,Yes,3.0,62.1
16.1,94.2,High,Medium,Yes,8.5,82.0,High,Yes,3.0,71.1
16.1,,High,High,No,9.3,60.4,High,Yes,1.0,60.9
40.0,90.4,High,Low,No,8.7,75.7,High,Yes,3.0,80.2
24.0,88.4,Medium,Low,Yes,10.0,50.8,High,Yes,2.0,51.4
11.4,82.4,High,High,No,5.4,56.1,High,,0.0,51.5
14.1,74.8,Low,Medium,No,5.4,87.6,High,Yes,2.0,67.7
31.9,88.8,High,High,Yes,8.8,93.6,High,Yes,4.0,80.6
9.5,69.8,High,Medium,No,8.7,86.8,High,Yes,2.0,57.8
30.0,,High,Medium,Yes,9.0,83.8,High,Yes,1.0,70.5
29.2,73.7,High,Low,No,5.9,73.2,High,Yes,1.0,68.5
26.9,92.1,Low,High,No,10.0,54.7,High,Yes,1.0,62.4
22.7,75.6,Medium,High,Yes,8.4,57.4,High,Yes,0.0,61.3
18.5,71.5,High,High,No,7.2,55.5,High,Yes,2.0,49.7
14.9,83.8,High,Medium,Yes,6.5,50.2,High,Yes,1.0,49.5
27.9,87.7,Medium,High,Yes,6.5,96.2,High,Yes,0.0,77.4
21.1,76.0,Medium,Medium,Yes,5.4,59.4,High,Yes,1.0,61.5
11.3,98.6,Medium,Low,Yes,7.7,62.8,High,No,2.0,57.3
17.4,78.9,High,Medium,No,9.3,75.3,High,No,1.0,58.2
22.1,93.5,Low,High,Yes,8.4,53.3,High,Yes,3.0,67.7
29.1,73.8,High,High,Yes,9.9,92.2,High,Yes,0.0,73.9
13.9,94.5,Medium,High,Yes,7.3,58.7,High,Yes,1.0,55.8
24.2,63.0,Low,Medium,No,7.4,70.1,High,Yes,2.0,65.6
18.5,98.6,High,Medium,Yes,7.0,93.3,High,No,1.0,73.0
29.9,76.4,Low,Medium,Yes,6.2,94.7,High,No,3.0,80.3
26.0,99.9,High,High,No,8.3,70.7,High,Yes,2.0,71.2
6.3,94.8,High,Medium,No,7.0,62.0,High,Yes,2.0,56.8
27.0,68.0,Medium,High,Yes,7.8,59.2,High,Yes,1.0,53.3
13.4,77.0,Medium,Medium,,8.4,84.9,High,Yes,0.0,62.4
28.9,66.6,Medium,Low,No,6.3,73.1,High,Yes,3.0,62.8
25.7,90.6,Medium,High,Yes,6.9,84.2,High,Yes,2.0,78.8
25.6,80.9,High,Medium,No,9.5,87.8,High,No,0.0,60.6
16.7,78.5,Medium,Low,Yes,7.2,52.3,High,Yes,1.0,51.9
13.1,91.7,Low,Medium,Yes,6.5,63.9,High,Yes,4.0,62.2
17.4,66.8,Medium,High,Yes,7.6,74.3,High,Yes,1.0,62.9
16.3,79.5,Medium,High,No,9.7,72.1,High,Yes,2.0,60.0
20.4,83.7,Low,High,No,7.9,58.8,High,No,3.0,58.3
17.8,67.9,Medium,Low,Yes,6.3,70.0,High,Yes,2.0,55.5
13.2,62.6,,Medium,No,4.0,84.9,High,Yes,1.0,63.2
11.1,61.5,Medium,High,No,6.8,84.1,High,Yes,4.0,63.0
11.6,75.9,High,Medium,Yes,7.7,93.8,High,Yes,0.0,63.6
29.3,73.3,High,High,Yes,7.6,92.6,High,Yes,1.0,75.2
21.2,70.1,Medium,Low,Yes,6.7,92.1,High,Yes,4.0,64.4
21.9,87.9,High,Medium,Yes,7.5,94.6,High,Yes,0.0,71.7
23.5,70.1,Low,Medium,Yes,5.1,56.4,High,Yes,2.0,62.9
18.8,74.1,Medium,Medium,Yes,7.0,94.0,High,No,0.0,65.0
21.1,79.0,High,Medium,Yes,8.1,80.2,High,Yes,3.0,77.0
27.3,72.7,Low,Low,Yes,7.0,77.7,High,Yes,2.0,68.1
32.8,95.3,Medium,Medium,Yes,6.7,65.4,High,Yes,1.0,70.7
24.3,83.6,Low,High,Yes,9.8,69.3,High,Yes,2.0,69.2
18.7,76.9,Low,Medium,Yes,8.5,61.6,High,Yes,2.0,57.8
25.2,92.8,Medium,Low,Yes,5.8,61.0,High,No,1.0,60.4
24.2,91.1,Medium,Medium,Yes,6.0,81.2,High,Yes,1.0,65.3
25.7,68.5,High,High,Yes,4.1,62.2,High,Yes,1.0,61.5
16.8,79.3,High,High,Yes,9.5,81.5,High,Yes,0.0,63.1
22.5,61.2,Low,Medium,,8.7,87.4,High,Yes,1.0,65.4
31.7,82.2,Low,Low,Yes,7.8,88.2,High,Yes,0.0,72.7
23.2,86.9,High,Medium,No,9.9,93.3,High,Yes,1.0,69.7
18.5,89.4,Medium,Medium,Yes,8.6,67.3,High,Yes,0.0,48.1
30.4,98.3,Low,Medium,Yes,5.9,52.1,High,Yes,1.0,67.2
13.6,63.9,Medium,Medium,Yes,7.4,72.4,High,Yes,0.0,60.3
21.6,90.5,High,Medium,No,8.3,52.9,High,Yes,3.0,57.6
18.7,72.4,High,Medium,No,7.9,58.3,High,Yes,3.0,58.0
29.2,81.0,High,Low,No,7.7,97.2,High,Yes,1.0,86.9
15.1,90.2,Medium,Medium,Yes,5.3,99.9,High,Yes,0.0,76.6
9.5,75.9,High,Low,No,9.3,98.3,High,Yes,4.0,64.2
15.9,84.1,Medium,High,No,6.9,79.5,High,Yes,1.0,62.3
26.5,92.9,Medium,Medium,,6.8,99.5,High,Yes,1.0,87.0
28.7,63.8,Low,Medium,Yes,5.9,88.9,High,Yes,1.0,72.6
21.6,86.4,Medium,Low,Yes,6.0,97.0,High,Yes,1.0,75.3
20.8,78.2,Medium,High,Yes,6.6,95.9,High,Yes,1.0,69.4
25.6,92.0,Medium,Medium,Yes,5.5,51.4,High,Yes,0.0,59.3
8.3,76.6,Low,High,Yes,7.1,65.7,High,Yes,0.0,49.5
22.7,78.9,Medium,Medium,No,5.2,62.0,High,Yes,1.0,56.8
27.9,71.8,High,High,Yes,7.2,74.7,High,Yes,1.0,78.2
23.4,84.0,Medium,High,No,6.9,95.8,High,Yes,2.0,79.3
18.6,63.6,Medium,High,No,7.7,52.2,High,Yes,3.0,55.0
21.1,98.9,Low,Medium,No,8.8,99.6,High,Yes,2.0,73.4
25.3,74.7,Medium,Medium,No,6.0,73.7,High,Yes,1.0,55.9
30.8,94.0,High,Medium,Yes,8.8,51.8,High,Yes,1.0,60.3
22.9,82.4,Medium,Medium,No,8.2,90.1,High,Yes,3.0,70.6
21.0,77.3,Low,High,Yes,6.0,57.8,High,No,4.0,64.9
30.0,79.7,Medium,High,No,6.3,99.1,High,Yes,0.0,75.7
18.0,79.4,High,Low,Yes,5.5,80.2,High,Yes,1.0,59.4
32.8,74.6,Medium,High,Yes,6.0,96.6,High,Yes,1.0,78.0
19.8,66.0,Medium,Low,Yes,8.3,77.6,High,Yes,2.0,67.0
19.4,94.6,Medium,Medium,Yes,6.1,66.7,High,Yes,1.0,67.4
26.9,98.4,Medium,High,No,8.3,77.0,High,Yes,0.0,74.7
14.5,95.6,High,Medium,No,6.0,75.5,High,Yes,1.0,59.3
16.0,84.6,Low,,Yes,7.2,61.4,High,Yes,0.0,53.4
23.5,87.0,Medium,High,No,7.8,54.0,High,Yes,1.0,55.6
5.3,64.9,Medium,High,Yes,6.9,62.4,High,Yes,0.0,51.8
26.9,93.1,High,High,No,8.1,97.0,High,Yes,1.0,81.6
12.6,82.4,Low,Medium,Yes,4.0,82.2,High,Yes,1.0,66.5
16.4,76.7,High,Medium,Yes,5.9,63.8,High,No,1.0,59.0
27.2,99.9,Low,High,No,8.7,66.0,High,Yes,1.0,65.9
18.0,78.3,Low,Medium,No,6.1,98.8,High,Yes,1.0,66.2
15.6,95.9,Medium,Medium,Yes,8.2,67.8,High,Yes,1.0,61.9
28.7,84.6,Low,Medium,No,8.3,69.1,High,Yes,1.0,72.2
17.0,84.1,Medium,Medium,No,8.0,68.2,High,Yes,,67.4
10.9,66.9,Medium,Medium,Yes,6.9,84.5,High,Yes,0.0,53.0
17.2,96.4,High,Medium,Yes,7.5,62.8,High,No,1.0,59.3
14.4,77.4,Medium,Medium,Yes,7.1,86.5,High,Yes,2.0,56.1
